class,sentence
ချီးမွမ်းစကား,ဂုဏ်ယူစရာပဲ
ချီးမွမ်းစကား,ဂုဏ်ယူပါတယ်
ချီးမွမ်းစကား,စွန်းမိုက်တယ်
ချီးမွမ်းစကား,စွန်းလန်းတယ်
ချီးမွမ်းစကား,တော်တယ်
ချီးမွမ်းစကား,တော်လိုက်တာ
ချီးမွမ်းစကား,ပယ်ဆိုးလို့လဲ
ချီးမွမ်းစကား,ပျံထွက်နေတာပဲ
ချီးမွမ်းစကား,ဘယ်ဆိုးလို့လဲ
ချီးမွမ်းစကား,မဆိုးပါဘူး
ချီးမွမ်းစကား,မိုက်တယ်
ချီးမွမ်းစကား,ရှယ်ပဲ
ချီးမွမ်းစကား,လန်ထွက်နေတယ်
ချီးမွမ်းစကား,လိမ္မာတယ်
ချီးမွမ်းစကား,လှတယ်
ချီးမွမ်းစကား,လှလိုက်တာ
ချီးမွမ်းစကား,အယ်လယ်ပယ်ဆိုးလို့လဲ
ချီးမွမ်းစကား,အရမ်းကောင်းတယ်
ချီးမွမ်းစကား,အရမ်းချောတယ်
ချီးမွမ်းစကား,အရမ်းတော်တာပဲ
ချီးမွမ်းစကား,အရမ်းမိုက်တယ်
ချီးမွမ်းစကား,အရမ်းလှတာပဲ
ချီးမွမ်းစကား,အလန်းပါလား
စိတ်ပျက်စကား,ကြောင်နေတာလား
စိတ်ပျက်စကား,စိတ်ဆင်းရဲတယ်
စိတ်ပျက်စကား,စိတ်ပျက်စရာ
စိတ်ပျက်စကား,စိတ်ပျက်တယ်
စိတ်ပျက်စကား,စိတ်လေတယ်
စိတ်ပျက်စကား,စောက်တလွဲပါကွာ
စိတ်ပျက်စကား,စောက်လုပ်ရှုပ်လိုက်တာ
စိတ်ပျက်စကား,စွန်းဝိတယ်
စိတ်ပျက်စကား,ဆိုးလိုက်တာ
စိတ်ပျက်စကား,တော်ပါ
စိတ်ပျက်စကား,တော်ပါတော့
စိတ်ပျက်စကား,တော်ယုံပဲကောင်းပါတယ်
စိတ်ပျက်စကား,ဒါလေးတောင်မသိဘူးလား
စိတ်ပျက်စကား,နားစမ်းပါ
စိတ်ပျက်စကား,နောက်နေတာလား
စိတ်ပျက်စကား,ပါတွေလယ်
စိတ်ပျက်စကား,ပိန်းလိုက်တာ
စိတ်ပျက်စကား,ဖြစ်ချင်တာဖြစ်တော့
စိတ်ပျက်စကား,ဖြစ်ချင်ရာဖြစ်
စိတ်ပျက်စကား,ဘာကြီးလဲ
စိတ်ပျက်စကား,ဘာမှလဲမတတ်ဘူး
စိတ်ပျက်စကား,ဘာလဲဟ
စိတ်ပျက်စကား,မစွံပါဘူး
စိတ်ပျက်စကား,မိုက်ရိုင်းတယ်
စိတ်ပျက်စကား,မှားပါတယ်
စိတ်ပျက်စကား,ရိုင်းလိုက်တာ
စိတ်ပျက်စကား,ရွံလိုက်တာ
စိတ်ပျက်စကား,လာမိတာမှားပြီ
စိတ်ပျက်စကား,လိုက်မိတာမှားပြီ
စိတ်ပျက်စကား,လွန်လွန်းတယ်
စိတ်ပျက်စကား,သွားပါပြီ
စိတ်ပျက်စကား,အရမ်းရိုင်းတယ်
စိတ်ပျက်စကား,အသုံးမကျဘူး
စွပ်စွဲစကား,ငါ့ကိုလာမလိမ်နဲ့
စွပ်စွဲစကား,နင်လိမ်နေတာ
စွပ်စွဲစကား,မညာနဲ့နော်
စွပ်စွဲစကား,မသွားဘူးမဟုတ်လား
စွပ်စွဲစကား,လိမ်နေတာမဟုတ်လား
စွပ်စွဲစကား,သွားတယ်မဟုတ်လား
စွပ်စွဲစကား,ဟုတ်ဘဲနဲ့
စွပ်စွဲစကား,ဟုတ်လည်းမဟုတ်ပဲနဲ့
ဆန့်ကျင်စကား,တော်တော်ညံ့တယ်
ဆန့်ကျင်စကား,မကြည့်ချင်ဘူး
ဆန့်ကျင်စကား,မကြားချင်ဘူး
ဆန့်ကျင်စကား,မကြိုက်ဘူး
ဆန့်ကျင်စကား,မဆိုင်ဘူး
ဆန့်ကျင်စကား,မပြောချင်ဘူး
ဆန့်ကျင်စကား,မမှန်ဘူး
ဆန့်ကျင်စကား,မလိုချင်ဘူး
ဆန့်ကျင်စကား,မလုပ်ချင်ဘူး
ဆန့်ကျင်စကား,မသိဘူး
ဆန့်ကျင်စကား,မဟုတ်ဘူး
ဆန့်ကျင်စကား,မှားတယ်
ဆန့်ကျင်စကား,မှားနေတယ်
ဆန့်ကျင်စကား,လွဲနေတယ်
ဆန့်ကျင်စကား,ဆန့်ကျင်ပါတယ်
ဆန့်ကျင်စကား,တိဝူးလေ
ဆန့်ကျင်စကား,ပြန်မလာနဲ့
ဆန့်ကျင်စကား,ဘာမှမလုပ်ဘူး
ဆန့်ကျင်စကား,မပြနဲ့
ဆန့်ကျင်စကား,မပြောနဲ့
ဆန့်ကျင်စကား,မပြောသင့်ပါ
ဆန့်ကျင်စကား,မလာနဲ့
ဆန့်ကျင်စကား,မလုပ်နဲ့
ဆန့်ကျင်စကား,မလုပ်သင့်ဘူး
ဆန့်ကျင်စကား,မသိဘူး
ဆန့်ကျင်စကား,မသွားနဲ့
ဆန့်ကျင်စကား,သဘောမတူပါဘူး
ဆန့်ကျင်စကား,သိဝူး
ဆုတောင်းစကား,ဆုတောင်ပါတယ်
ဆုတောင်းစကား,ဆုတောင်းပြည့်ပါစေ
ဆုတောင်းစကား,ထီပေါက်ပါစေ
ဆုတောင်းစကား,ပျော်ရွှင်ပါစေ
ဆုတောင်းစကား,ဖြစ်ပါစေ
ဆုတောင်းစကား,ဖြေနိုင်ပါစေ
ဆုတောင်းစကား,လိုချင်တာရပါစေ
ဆုတောင်းစကား,လိုတရပါစေ
ဆုတောင်းစကား,အိပ်မက်လှလှမက်ပါစေ
ဆုတောင်းစကား,အေးချမ်းပါစေ
ဆဲဆိုစကား,ချီးထုတ်
ဆဲဆိုစကား,ခွေးသား
ဆဲဆိုစကား,ခွေးသူခိုး
ဆဲဆိုစကား,ငလူး
ဆဲဆိုစကား,ငိုးမသား
ဆဲဆိုစကား,ငိုးလေး
ဆဲဆိုစကား,စပ
ဆဲဆိုစကား,စောက်ကလေး
ဆဲဆိုစကား,စောက်ရူး
ဆဲဆိုစကား,နင့်မေလင်
ဆဲဆိုစကား,နှမပေး
ဆဲဆိုစကား,ဖာ့ယူ
ဆဲဆိုစကား,ဖားခရု
ဆဲဆိုစကား,ဖျင်ခံချင်လို့လား
ဆဲဆိုစကား,ဘူးရှစ်
ဆဲဆိုစကား,ဘော
ဆဲဆိုစကား,ဘောပဲ
ဆဲဆိုစကား,ဘောဖြစ်နေတာလား
ဆဲဆိုစကား,ဘောလား
ဆဲဆိုစကား,မသာမ
ဆဲဆိုစကား,မအိမ်လုံး
ဆဲဆိုစကား,မိန်းမိန်ဆိုင်းဘုတ်
ဆဲဆိုစကား,မိမဆုံးမဖမဆုံးမ
ဆဲဆိုစကား,မြေနိုး
ဆဲဆိုစကား,ယီးဖြစ်လား
ဆဲဆိုစကား,လခွမ်း
ဆဲဆိုစကား,လခွီး
ဆဲဆိုစကား,လဥ
ဆဲဆိုစကား,လီးလား
ဆဲဆိုစကား,သူတောင်းစား
ဆဲဆိုစကား,အေရိုး
တိုက်တွန်းစကား,ကယ်ကြပါ
တိုက်တွန်းစကား,ကြိုက်တာယူ
တိုက်တွန်းစကား,ခွင့်လွှတ်လိုက်ပါ
တိုက်တွန်းစကား,ဂရုစိုက်
တိုက်တွန်းစကား,ဂိမ်းဆော့ကြမယ်
တိုက်တွန်းစကား,စာများများဖတ်ပါ
တိုက်တွန်းစကား,စောင်ခြုံထား
တိုက်တွန်းစကား,စောစောအိပ်ပါ
တိုက်တွန်းစကား,ဆေးသောက်ထားပါ
တိုက်တွန်းစကား,ဆေးသောက်လေ
တိုက်တွန်းစကား,ဆွဲကြစို့
တိုက်တွန်းစကား,ဆွဲမယ်လေ
တိုက်တွန်းစကား,တိုက်တွန်းပါတယ်
တိုက်တွန်းစကား,ထမင်းခူးပေး
တိုက်တွန်းစကား,ဒီမှာထိုင်ပါ
တိုက်တွန်းစကား,ဒီလိုမလုပ်နဲ့
တိုက်တွန်းစကား,ဒီလိုလုပ်ရမှာ
တိုက်တွန်းစကား,နွေးနွေးထွေးထွေးနေ
တိုက်တွန်းစကား,ပြန်မရှဲပါနဲ့
တိုက်တွန်းစကား,ပြန်ရှဲပေးပါ
တိုက်တွန်းစကား,ပြောကြစို့
တိုက်တွန်းစကား,ပြောင်းလဲချိန်တန်ပြီ
တိုက်တွန်းစကား,ဖုန်းဆက်ပါ
တိုက်တွန်းစကား,ဖုန်းမဆက်ပါနဲ့
တိုက်တွန်းစကား,ဖြည်းဖြည်းသွား
တိုက်တွန်းစကား,မတင်သင်းပါ
တိုက်တွန်းစကား,မပြရဘူးနော်
တိုက်တွန်းစကား,မသိမသာတိုးကြည့်
တိုက်တွန်းစကား,မသုံးနဲ့
တိုက်တွန်းစကား,မိတ်ဆက်ပေးပါ
တိုက်တွန်းစကား,မေးကြည့်ရအောင်
တိုက်တွန်းစကား,မြန်မြန်သွား
တိုက်တွန်းစကား,ရုပ်ရှင်ကြည့်မယ်
တိုက်တွန်းစကား,ရေခပ်ပေး
တိုက်တွန်းစကား,လမ်းခွဲရအောင်
တိုက်တွန်းစကား,လာခဲ့
တိုက်တွန်းစကား,လာခဲ့ပါလား
တိုက်တွန်းစကား,လာရအောင်
တိုက်တွန်းစကား,လာသွားမယ်
တိုက်တွန်းစကား,လုပ်ကြစို့
တိုက်တွန်းစကား,လုပ်ရအောင်
တိုက်တွန်းစကား,လျှောက်လည်ကြမယ်
တိုက်တွန်းစကား,ဝင်မပါနဲ့
တိုက်တွန်းစကား,ဝယ်ပေးပါ
တိုက်တွန်းစကား,သေချာဖတ်ပါ
တိုက်တွန်းစကား,သွားကြစို့
တိုက်တွန်းစကား,သွားရအောင်
တိုက်တွန်းစကား,အတူပြန်ကြစို့
တိုက်တွန်းစကား,အိပ်တော့
တိုက်တွန်းစကား,အေးဆေးနေပါကွာ
တောင်းဆိုစကား,ကူညီပါ
တောင်းဆိုစကား,ကူပေးပါ
တောင်းဆိုစကား,ကြည့်ပါရစေ
တောင်းဆိုစကား,ကြည့်မယ်နော်
တောင်းဆိုစကား,ကြည့်ပေးပါ
တောင်းဆိုစကား,တောင်းဆိုပါတယ်
တောင်းဆိုစကား,ထည့်ပေးပါ
တောင်းဆိုစကား,နည်းနည်းလောက်ပေးပါ
တောင်းဆိုစကား,နောက်တခေါက်လောက်
တောင်းဆိုစကား,ပိုက်ဆံပေးပါ
တောင်းဆိုစကား,ပိုက်​ဆံ​ချေးပါလား
တောင်းဆိုစကား,ပို့ပေးပါ
တောင်းဆိုစကား,ပေးပါဦး
တောင်းဆိုစကား,ပြန်လာပါတော့
တောင်းဆိုစကား,ဖြည့်ပေးပါ
တောင်းဆိုစကား,လာကြစို့
တောင်းဆိုစကား,လုပ်ပေးပါ
တောင်းဆိုစကား,လျှောက်လည်ကြစို့
တောင်းဆိုစကား,သွားကြစို့
တောင်းပန်စကား,ကန်တော့နော်
တောင်းပန်စကား,ခွင့်လွှတ်ပါ
တောင်းပန်စကား,စတာပါဗျာ
တောင်းပန်စကား,စိတ်မဆိုးနဲ့နော်
တောင်းပန်စကား,စိတ်မဆိုးပါနဲ့
တောင်းပန်စကား,စိတ်မရှိပါနဲ့
တောင်းပန်စကား,ဆောရီး
တောင်းပန်စကား,တစ်မျိုးမထင်ပါနဲ့
တောင်းပန်စကား,တမင်လုပ်တာမဟုတ်ပါဘူး
တောင်းပန်စကား,တောင်းပန်ပါတယ်
တောင်းပန်စကား,နောက်တစ်ခါမဖြစ်စေရပါဘူး
တောင်းပန်စကား,နောက်တာပါ
တောင်းပန်စကား,မရည်ရွယ်ပါဘူး
ထောက်ခံစကား,ကောင်းပါပြီ
ထောက်ခံစကား,ကြည့်လို့ကောင်းတယ်
ထောက်ခံစကား,ဂွတ်
ထောက်ခံစကား,ဆက်လုပ်ပါ
ထောက်ခံစကား,ထောက်ခံတယ်
ထောက်ခံစကား,မှန်တယ်
ထောက်ခံစကား,မှန်သွားပြီ
ထောက်ခံစကား,သဘောတူတယ်
ထောက်ခံစကား,သေချာတယ်
ထောက်ခံစကား,ဟုတ်တယ်
ထောက်ခံစကား,ဟုတ်ပါပီပယ်သူကပါပျော့နေလို့လဲ
ထောက်ခံစကား,အတိအကျပဲ
ထောက်ခံစကား,အားပေးပါတယ်
ထောက်ခံစကား,အိုကေ
ဒေါသစကား,ချမလား
ဒေါသစကား,ငါလုပ်မိတော့မယ်
ဒေါသစကား,ငါ့စိတ်ကိုလာမစနဲ့
ဒေါသစကား,ငါ့လုပ်လိုက်ရ
ဒေါသစကား,စမုံတုံးချင်နေပြီထင်တယ်
ဒေါသစကား,စိတ်တိုလာပြီနော်
ဒေါသစကား,တွေ့ကြသေးတာပေါ့ကွာ
ဒေါသစကား,ထိုးမလား
ဒေါသစကား,ဒေါသထွက်နေတယ်နော်
ဒေါသစကား,ဒေါသထွက်လာပြီနော်
ဒေါသစကား,နင်​ဒါ​တော့များပြီ
ဒေါသစကား,နားရင်းတီးခံရမယ်
ဒေါသစကား,နေစမ်းပါကွာ
ဒေါသစကား,ပါးရိုက်ခံရမယ်
ဒေါသစကား,ပေါက်ကွဲလာပြီ
ဒေါသစကား,ဘာကွ
ဒေါသစကား,ယီးဖြစ်နေတာလား
ဒေါသစကား,သေချင်လို့လား
ဒေါသစကား,သေလိုက်
နောက်ပြောင်စကား,ခလေးအဖေ
နောက်ပြောင်စကား,ခေးလေးရေ
နောက်ပြောင်စကား,ချေတယ်နော်
နောက်ပြောင်စကား,ဂျင်းကောင်
နောက်ပြောင်စကား,စော်ကြည်ဘဲ
နောက်ပြောင်စကား,စော်အလန်းလေး
နောက်ပြောင်စကား,ဆုတောင်းလေ
နောက်ပြောင်စကား,တောမှာသွားပြော
နောက်ပြောင်စကား,နောက်တာပါ
နောက်ပြောင်စကား,နှာဘူး
နောက်ပြောင်စကား,ပယ်သူကပါပျော့လို့လဲ
နောက်ပြောင်စကား,မတင်သင်းပါသောက်ရူ
နောက်ပြောင်စကား,မသာကောင်
နောက်ပြောင်စကား,မသာကြီး
နောက်ပြောင်စကား,မသာလောင်း​လေး
နောက်ပြောင်စကား,ရှောတော့မယ်ဆို
နောက်ပြောင်စကား,လန်းနေတာ
နောက်ပြောင်စကား,သာတယ်နော်
နောက်ပြောင်စကား,သာပါတယ်ကွာ
နောက်ပြောင်စကား,သေနာ
နောက်ပြောင်စကား,သေနာကြီး
နောက်ပြောင်စကား,သဲလေး
နောက်ပြောင်စကား,ဟဟပဲရမယ်
နောက်ပြောင်စကား,အချေတစ်လိုင်းနော်
နောက်ပြောင်စကား,အချေပဲ
နောက်ပြောင်စကား,အပျိုကြီး
နောက်ပြောင်စကား,အရူး
နောက်ပြောင်စကား,အာဘွား
နှုတ်ဆက်စကား,ဂွတ်နိုက်
နှုတ်ဆက်စကား,ဆီးယူ
နှုတ်ဆက်စကား,တာ့တာ
နှုတ်ဆက်စကား,နင်ငါ့ကိုမေ့လိုက်ပါတော့
နှုတ်ဆက်စကား,နောက်မှတွေ့မယ်
နှုတ်ဆက်စကား,နှုတ်ဆက်ပါတယ်
နှုတ်ဆက်စကား,ပြန်တော့မယ်
နှုတ်ဆက်စကား,ပြန်ပြီ
နှုတ်ဆက်စကား,ပြန်လိုက်ဦးမယ်
နှုတ်ဆက်စကား,ဘိုင်
နှုတ်ဆက်စကား,ဘိုင့်ဘိုင်
နှုတ်ဆက်စကား,လစ်ပြီ
နှုတ်ဆက်စကား,သွားတော့မယ်
နှုတ်ဆက်စကား,သွားပြီ
မိတ်ဆက်စကား,ကြွပါခင်ဗျ
မိတ်ဆက်စကား,ကွီး
မိတ်ဆက်စကား,ခင်​ချင်​လို့ပါ
မိတ်ဆက်စကား,ညလေး
မိတ်ဆက်စကား,ညီမ
မိတ်ဆက်စကား,ညီလေး
မိတ်ဆက်စကား,ညေး
မိတ်ဆက်စကား,တွေ့ရတာဝမ်းသာတယ်
မိတ်ဆက်စကား,နေကန်းလား
မိတ်ဆက်စကား,နေကောင်းလား
မိတ်ဆက်စကား,မင်္ဂလာပါ
မိတ်ဆက်စကား,မိတ်ဆက်ချင်လို့ပါ
မိတ်ဆက်စကား,မောနင်း
မိတ်ဆက်စကား,သားကြီး​ရေ
မိတ်ဆက်စကား,ဟယ်လို
မိတ်ဆက်စကား,ဟိတ်
မိတ်ဆက်စကား,ဟိုင်း
မိတ်ဆက်စကား,ဟေ့
မိတ်ဆက်စကား,ဟဲလို
မိတ်ဆက်စကား,ဟဲ့
မိတ်ဆက်စကား,ဟျောင့်
မိတ်ဆက်စကား,အစ်ကို
မိတ်ဆက်စကား,အစ်မ
မြည်တွန်စကား,စားတယ်နော်
မြည်တွန်စကား,စောင်ဆန်းကြီး
မြည်တွန်စကား,ဆန်းကြယ်ပြီလေ
မြည်တွန်စကား,ထပ်သရီး
မြည်တွန်စကား,ဒစ်လည်နေတယ်
မြည်တွန်စကား,ဒိုးခပါပဲ
မြည်တွန်စကား,နင့်မေကြီးတော်
မြည်တွန်စကား,နာလိုက်တာ
မြည်တွန်စကား,ပါဒေလယ်
မြည်တွန်စကား,ဘာလဲဟ
မြည်တွန်စကား,မင်းကလဲကွာ
မြည်တွန်စကား,လန့်လိုက်တာ
မြည်တွန်စကား,ဝိုးမိုက်တယ်
မြည်တွန်စကား,သေစမ်း
မြည်တွန်စကား,သေတော့မှာဘဲ
မြည်တွန်စကား,သေပြီလေ
မြည်တွန်စကား,သောက်ကျိုးနည်း
မြည်တွန်စကား,သောက်ဆန်းကြီး
မြည်တွန်စကား,အေးပါကွာ
မြည်တွန်စကား,ဪအေ
ရည်းစားစကား,ချစ်စရာလေး
ရည်းစားစကား,ချစ်တယ်ကွာ
ရည်းစားစကား,ချစ်တယ်လေနော့်
ရည်းစားစကား,ချစ်မိပြီကွယ်
ရည်းစားစကား,ငါ့အတွက်တော့မင်းကပထမ
ရည်းစားစကား,နင်လိမ်လည်းငါချစ်တယ်
ရည်းစားစကား,မချစ်ဘူးလား
ရည်းစားစကား,မင်းကအရမ်းလှတယ်
ရည်းစားစကား,မင်းကိုငါချစ်တယ်
ရည်းစားစကား,လွမ်းတယ်
ရည်းစားစကား,အချစ်ရူးလေးမို့ပါ
ရည်းစားစကား,အရမ်းလွမ်းနေပြီ
ဝမ်းနည်းစကား,ကြေကွဲတယ်
ဝမ်းနည်းစကား,ငိုချင်တယ်
ဝမ်းနည်းစကား,စိတ်ညစ်တယ်
ဝမ်းနည်းစကား,စိတ်ဓါတ်ကျတယ်
ဝမ်းနည်းစကား,စိတ်မကောင်းဘူး
ဝမ်းနည်းစကား,မပျော်ဘူး
ဝမ်းနည်းစကား,ဝမ်းနည်းစရာကြီး
ဝမ်းနည်းစကား,ဝမ်းနည်းမိတယ်
ဝမ်းနည်းစကား,အရမ်းခံစားရတယ်
ဝမ်းနည်းစကား,အသည်းကွဲနေပြီ
ဝမ်းမြောက်စကား,ခိခိ
ဝမ်းမြောက်စကား,ငိငိ
ဝမ်းမြောက်စကား,ပျော်စရာကြီး
ဝမ်းမြောက်စကား,ပျော်စရာပဲ
ဝမ်းမြောက်စကား,ပျော်လိုက်တာ
ဝမ်းမြောက်စကား,မိုက်တယ်ဟေ့
ဝမ်းမြောက်စကား,ရှိတ်လိုက်
ဝမ်းမြောက်စကား,ဝမ်းသာစရာပဲ
ဝမ်းမြောက်စကား,ဝမ်းသာလိုက်တာ
ဝမ်းမြောက်စကား,ဟားဟား
ဝမ်းမြောက်စကား,ဟိဟိ
ဝမ်းမြောက်စကား,ဟီဟီ
ဝမ်းမြောက်စကား,ဟီး
ဝမ်းမြောက်စကား,ဟေး
ဝမ်းမြောက်စကား,ဟဲဟဲ
ဝမ်းမြောက်စကား,အဟေး
အချိန်ပြစကား,ခဏ
အချိန်ပြစကား,ခုနှစ်
အချိန်ပြစကား,စက္ကန့်
အချိန်ပြစကား,တခါတလေ
အချိန်ပြစကား,တစ်အောင့်
အချိန်ပြစကား,ဒီနေ့
အချိန်ပြစကား,နာရီ
အချိန်ပြစကား,နောက်ရက်
အချိန်ပြစကား,ဘယ်တော့မှ
အချိန်ပြစကား,မနက်ဖြန်
အချိန်ပြစကား,မနေ့က
အချိန်ပြစကား,မနေ့တစ်နေ့
အချိန်ပြစကား,မိနစ်
အချိန်ပြစကား,ယနေ့
